Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
The Sharing Group,https://thesharinggroup.com/,"James Wattstraat 77, 1097 DL Amsterdam","netherlands,belgium,germany,austria,switzerland,sweden,denmark,finland,norway,estonia,italy,spain,france,uk,portugal,luxembourg","2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in early-stage companies in Energy & Sustainable Mobility throughout Europe (Pre-seed / Seed / Series A) 🚙⚡️,Corporate VC,$500000,$2000000
Mer Angels,https://mer-angels.org,"Paris, France",france,"3. Early Revenue,4. Scaling","We invest in blue economy startups that span a broad spectrum of sectors such as fintech, IoT, web3, SaaS, blockchain, AI, machine learning, AR/VR, biotech, robotics, clean energy, sustainable agriculture, edtech, healthtech, insurtech, proptech, quantum computing, nanotechnology, cybersecurity, e-commerce, mobile apps, cloud computing, 5G, wearables, gaming, digital health, genomics, drones, space tech, smart cities, and autonomous vehicles, seeking out the most innovative and transformative solutions within these domains",Angel network,$100000,$500000
Transition VC,https://transitionventurecapital.com/,"Bangalore, India",india,"2. Prototype,3. Early Revenue,4. Scaling","We invest in Electric Vehicles, Renewable Energy, Hydrogen, Energy Storage, Carbon, etc. Either enhancing energy effciency or reducing carbon emissions directly/indirectly.",VC,$250000,$2000000
Adesso Ventures,https://www.adesso-ventures.com/,"Prinzenstraße 34, 10969 , Berlin, DE","germany,austria,switzerland,belgium,czech republic,denmark,estonia,hungary,ireland,italy,liechtenstein,luxembourg,latvia,lithuania,netherlands,poland,portugal,romania,spain,sweden,finland,uk,france","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in Enterprise Tech
(SaaS, Health, FinTech, DevTools, DevOps etc.)",Corporate VC,$100000,$1000000
Orion Bridge Capital,https://obc.capital/,"531A Upper Cross Street, Hong Lim Complex, Singapore 051531","kenya,niger,nigeria,south africa,usa,south korea,egypt","2. Prototype,3. Early Revenue,4. Scaling","We invest into early-stage startups aiming to address critical issues and inconveniences at scale.

We have no investment mandates and are open to most opportunities though we have stringent investment guidelines to maintain focus and discipline.",Family office,$50000,$500000
Blast.Club,https://blast.club/,"Paris, France","andorra,belgium,france,germany,italy,luxembourg,portugal,spain","3. Early Revenue,4. Scaling,5. Growth","We invest in French and European entrepreneurs (generalist thesis, marketplaces, fintech, insurtech, IoT, web3, SaaS, deeptech, hardware, medtech, AI, consumer, DNVB) from Seed to Series B.",VC,$500000,$5000000
BlackTech Capital ,https://blacktechcapital.com,"Ontario, Canada","canada,usa","3. Early Revenue,4. Scaling","We invest in preseed/seed stage Black and other underrepresented entrepreneurs in ClimateTech/CleanTech that have a strong, clear path to revenue, who's solution solves a meaningful aspect of the climate crisis. Hard value cap at $10M.",VC,$50000,$500000
Nikaia Ventures,https://www.nikaiav.com/,Singapore,"singapore,indonesia,philippines,thailand,vietnam,malaysia,australia,new zealand,hong kong,taiwan,south korea,japan,uae,france","5. Growth,4. Scaling,3. Early Revenue,2. Prototype",We invest alongside great investors we can bring together into the round,VC,$25000,$100000000
Moonstone VC,https://moonstone.fund,"Milan, Italy","uk,usa,france,germany,austria,netherlands,norway,sweden,belgium,denmark,czech republic,finland,hungary,luxembourg,portugal","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in impactful startups with disruptive technologies, mainly DeepTech, with a focus in the Healthcare, ClimateTech and CleanTech sectors.",VC,$10000,$50000
Cervin Ventures,https://www.cervin.com,"705 Forest Avenue Palo Alto, CA 94301","usa,india,israel","2. Prototype,3. Early Revenue","We invest in enterprise software, data and AI, cybersecurity, DevOps, cloud, and networking.",VC,$250000,$6000000
Founders Capital,https://www.founders-capital.com/,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",uk,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in FinTech, AgriTech, ClimateTech, Payments, AI and SaaS companies with £200k+ ARR",Angel network,$50000,$200000
Fluent Ventures,https://www.fluentvc.com/,"San Francisco, CA, USA","usa,canada,uk,germany,france,belgium,netherlands,sweden,india,nigeria,singapore,vietnam,indonesia,thailand,brazil,mexico,colombia","3. Early Revenue,4. Scaling,5. Growth","We invest in fintech, commerce and health. Geographic Arbitrage: we look to invest in similar business models across multiple markets. ",VC,$200000,$2000000
Jeremy Baum,https://jeremysportfol.io/,"New York, US","canada,usa","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","I invest in PropTech & FinTech.

Tenets (not absolutely requirements):
1. 2-3 founders
2. domain expertise
3. I must be able to add-value",Solo angel,$1000,$500000
BH3 Growth Equity,https://bh-3.com/investment-strategies/,"56 West 22nd Street, 10th Floor, New York, NY 10010","usa,canada","4. Scaling,5. Growth,6. Pre-IPO,3. Early Revenue","We invest in proptech, construction technology, sustainable building materials, modular construction, property management, hotels & hospitality and other adjacent real estate and construction sectors.",PE fund,$5000000,$30000000
BDev Ventures,https://bdevventures.com/,"800 W. El Camino Real, Suite 180, Mountain View CA, 94040, USA","canada,usa,australia,brazil,mexico,uk","3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent","We invest in B2B businesses that target large markets in terms of contacts and have moved beyond founder-led sales. We are generalists and have invested in SaaS, HR tech, and fintech, among many others.",VC,$50000,$3000000
Montechiaro Consultants,https://www.montechiaroconsultants.com,"Cocowalk One. Suite 200 3350 Virginia St, Miami, FL 33133","usa,colombia,mexico,spain","2. Prototype,3. Early Revenue","We invest in startups with practical applications, particularly in fields like healthcare, industrial sectors and fintech.",Family office,$25000,$250000
Wellstreet,https://wellstreet.se/,"Norra Malmvägen 143, 191 62 Sollentuna, Sweden","albania,austria,belgium,bulgaria,czech republic,denmark,finland,france,germany,greece,hungary,iceland,italy,latvia,liechtenstein,lithuania,luxembourg,netherlands,norway,poland,portugal,romania,spain,sweden,switzerland,uk,ukraine","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in a healthy mix of D2C, B2B, SaaS, and product startups in early stages founded by commercially-minded diverse founders with a growth mindset. Ventures II is a sector-agnostic fund. Our Fintech Fund is currently in the deployment phase and focused on Fintech B2B infrastructure.",VC,$200000,$700000
PT Saratoga Investama Sedaya Tbk,https://saratoga-investama.com/,"Menara Karya, 15th Floor Jl. H.R. Rasuna Said Block X-5 Kav. 1-2 Jakarta 12950, Indonesia.","indonesia,philippines,singapore,vietnam","4. Scaling,5. Growth,6. Pre-IPO",We invest in high growing and scalable business,PE fund,$5000000,$20000000
Vesna Capital,https://vesna.capital/eng/,"Kyiv, Ukraine","ukraine,poland,croatia,bulgaria,estonia,finland,romania,hungary,czech republic,latvia,slovenia,lithuania,sweden,norway,denmark,iceland","3. Early Revenue,4. Scaling",We invest in startups from CEE and Nordic regions at pre-seed and seed stages. Our average check size is $50-200k. We are considering deploying $10 million over the next 2 years having already invested in >10 startups from CEE and Nordic regions.,VC,$50000,$200000
Improve Ventures,https://impro.ventures/,"Eau Claire, MI, USA","burundi,cabo verde,cameroon,central african republic,drc congo,côte d'ivoire,equatorial guinea,ethiopia,gabon,gambia,ghana,kenya,madagascar,mali,mauritius,mozambique,namibia,nigeria,rwanda,senegal,seychelles,sierra leone,south africa,tanzania,uganda,zambia,zimbabwe,argentina,brazil,chile,colombia,ecuador,mexico,peru,uruguay,bangladesh,hong kong,indonesia,malaysia,philippines,singapore,sri lanka,taiwan,vietnam,egypt,iran,kuwait,turkey","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in all industries, with an eye for the macro fundamentals. We are looking for human-centric solutions that empower human potential and a more sustainable life.

However, we do not currently work with capital intensive or highly regulated verticals, or web3 startups.",Other,$100000,$1000000
Northventures.dk,https://northventures.dk/,"Kongens Nytorv 3, 1050, Copenhagen K","denmark,sweden,norway","3. Early Revenue,4. Scaling","We invest in startups within the realms of Life Science, Tech & IT. Previous investments primarily include; SaaS, Hardware, Therapeutics, Biotech, MedTech, IoT. ",VC,$500000,$4000000
Guinness Ventures,https://www.guinnessgi.com/ventures,"18 Smith Square, London SW1P 3HZ United Kingdom",uk,"3. Early Revenue,4. Scaling","We invest in
💰 Revenues: £1m+
📈 Strong month-on-month growth
🤩 Exceptional, diverse and inspirational management teams
🤓 Current focus on B2B SaaS with industry leading metrics
🏰 Highly defensible business models
🕵🏼‍♂️ EIS/VCT qualifying
",VC,$1000000,$5000000
NGP Capital,https://www.ngpcap.com/,"418 Florence Street Palo Alto, CA 94301, USA","usa,china,india,finland,france,switzerland",3. Early Revenue,"We invest in early-stage B2B companies from Series A onwards in Europe, the US, Israel, and China within enterprise software, industrial tech, cybersecurity, and infrastructure.",VC,$5000000,$10000000
E12 Ventures,https://www.e12.ventures/,"Palo Alto, CA, United States",usa,"4. Scaling,5. Growth","We invest in Artificial Intelligence, Data Infrastructure, Industrial Internet, Robotics & Autonomy, Computer Vision and Health, Food Tech and AgTech, Climate Tech and Mobility. However, we are always on the lookout for the next big category as well.",VC,$2000000,$5000000
Beyond Capital,https://www.joinbeyond.co/,"London, UK","usa,uk,france,germany,singapore,australia,canada,israel,switzerland,sweden,finland,poland,netherlands,ireland,norway,spain","1. Idea or Patent,2. Prototype,4. Scaling,5. Growth,3. Early Revenue","We invest in most sectors SaaS, Fintech, defence, enterprise, proptech, medtech etc. in Pre-seed, Seed, Series A. Solid traction & co-investors always helps",VC,$100000,$500000
SHRMLabs,https://www.shrmlabs.com/,"1800 Duke Street, Alexandria, Virginia 22314, US","uk,usa,afghanistan,algeria,angola,andorra,antigua and barbuda,armenia,argentina,azerbaijan,bahamas,austria,albania,bahrain,australia,bangladesh,barbados,belgium,belize,bhutan,bolivia,bosnia-h,botswana,brazil,brunei,bulgaria,burkina faso,benin,burundi,cabo verde,cambodia,cameroon,canada,central african republic,chad,chile,china,colombia,comoros,congo (congo-brazzaville),costa rica,côte d'ivoire,croatia,cyprus,czech republic,denmark,djibouti,dominica,dominican republic,ecuador,egypt,el salvador,equatorial guinea,eritrea,estonia,ethiopia,fiji,finland,france,gabon,gambia,georgia,germany,ghana,greece,grenada,guatemala,guinea,guinea-bissau,guyana,haiti,honduras,hungary,hong kong,iceland,india,indonesia,ireland,israel,italy,jamaica,japan,kuwait,jordan,kazakhstan,kenya,kiribati,kyrgyzstan,laos,latvia,lebanon,lesotho,liechtenstein,lithuania,madagascar,mexico,malawi,malaysia,maldives,mali,malta,marshall islands,mauritius,mauritania,moldova,monaco,morocco,micronesia,mongolia,montenegro,mozambique,namibia,nauru,nepal,netherlands,new zealand,luxembourg,nigeria,nicaragua,niger,north macedonia,norway,oman,pakistan,palestine,uae,zambia,vietnam,vanuatu,uzbekistan,uruguay,ukraine,uganda,yemen,venezuela,tunisia,turkey,trinidad and tobago,togo,tonga,tanzania,thailand,tajikistan,taiwan,switzerland,sweden,south africa,turkmenistan,spain,south sudan,sri lanka,south korea,solomon islands,sierra leone,seychelles,singapore,slovenia,poland,panama,paraguay,peru,papua new guinea,saudi arabia,senegal,sao tome and principe,sant lucia,sant kitts and nevis,san marino,rwanda,portugal,philippines,qatar,romania,saint vincent and the grenadines,samoa,drc congo,palau,slovakia,serbia,tuvalu","3. Early Revenue,4. Scaling,5. Growth","We invest in HRTech, workplaceTech and future of work technologies.",VC,$50000,$200000
Rutuja Jagtap,https://www.finance-in-motion.com/,Germany,"canada,usa,france,germany,iceland,italy","1. Idea or Patent,2. Prototype,3. Early Revenue,5. Growth",I invest in companies solving global challenges of the future with products and services focused on responsible outcomes,Solo angel,$10000,$500000
Serengeti Business Angels Network,http://www.serengetiangels.com/,"P.O. Box 77552 Ally Sykes Road, Mbezi Beach. Dar es Salaam","tanzania,rwanda,uganda,kenya,burundi,zambia",3. Early Revenue,We invest in all industries (Sector Agnostic),Angel network,$20000,$150000
Aurelia Ventures,https://aureliaventures.com,"2021 Fillmore St, San Francisco, California 94115, US",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue",We accelerate startups in the B2B SaaS sector with a core focus of the US market.,"Incubator, Accelerator",$25000,$2000000
Boost Capital Partners,https://boostcp.vc/,"Berkeley Square House, 3rd floor, London, W1J 6BU, GB","uk,germany,argentina,mexico,colombia,brazil,france,finland","3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in all industries at the pre-seed or seed stage,VC,$500000,$1000000
IW Capital,https://iwcapital.co.uk/,IW Capital Limited 42 Bruton Place London W1J 6PA,uk,"4. Scaling,5. Growth","We invest in all industries. We are sector agnostic but our key criteria for investment opportunities is:

1. Minimum Traction: To ensure a solid foundation for growth, we prioritize companies that have strong growth prospects for their products and services and have an ARR of at least £2 million. This ensures that the companies we consider have demonstrated market traction and are now looking for a funding partner for the next stage of growth. 

2. High Growth Potential: We are actively seeking businesses with a proven track record of consistent revenue growth and a clear vision for further expansion. Industries of particular interest include environmental, sustainability, healthcare, consumer and other businesses that aim to improve people’s lives.

3. Strong Management Teams: We firmly believe that the strength and expertise of a company's management team are paramount to its success. We seek to partner with visionary leaders who possess a deep understanding of their market, exhibit exceptional execution capabilities, and are passionate about driving their company’s growth.
",VC,$2000000,$6000000
Jason Hung,https://openangel.org,Taiwan,"belgium,cyprus,czech republic,denmark,estonia,finland,france,germany,iceland,italy,liechtenstein,luxembourg,malta,netherlands,norway,poland,romania,sweden,switzerland,uk,ukraine","4. Scaling,5. Growth,6. Pre-IPO","I invest in project that fit in to following conditions:
1. Project with revenue stream or proof or profitable
2. SAAS, Defi, Blockchain, AI, Mobile internet, Game
3. Seeking market expansion at Greater China or Asia
4. Seeking investment from Greater China or Asia",Solo angel,$500000,$2000000
Daba Finance,https://www.dabafinance.com/en,"Miami, FL, USA","côte d'ivoire,senegal,nigeria,morocco,south africa,ghana,algeria,egypt,kenya,rwanda,namibia,angola,zambia,zimbabwe,mauritius,botswana,burkina faso,cameroon,drc congo,ethiopia,gabon,mali,benin,togo","3. Early Revenue,4. Scaling,5. Growth","We invest in Fintech, Health tech, SaaS, Logistics Tech, Agritech",Angel network,$5000,$200000
ISX8 Ventures,https://isx8.com/,"San Mateo, CA 94403, US","argentina,brazil,usa,china,india,indonesia,japan,pakistan,singapore,austria,czech republic,france,germany,portugal,uk,ukraine,bahrain,qatar,saudi arabia,uae,australia","3. Early Revenue,4. Scaling,5. Growth","We invest in disruptive, product-driven startups within enterprise SaaS, AdTech, MarTech, AI, developer tools, and productivity solutions. We seek companies with a proven business model, demonstrated traction, and existing co-investors or angel support.",Angel network,$50000,$100000
Orion Startups,https://www.orionstartups.com,"4700, Heroico Colegio Militar Av, Chihuahua, Mexico, 31300","mexico,usa,canada,colombia,peru,germany,costa rica","2. Prototype,1. Idea or Patent,3. Early Revenue",We accelerate pre-revenue BioTech and Digital products that have a working prototype.,"Incubator, Accelerator",$30000,$30000
Flossbach von Storch - Innovation Hub,http://www.flossbachvonstorch-innovationhub.de/,"Ottoplatz 1, 50679 Cologne, Germany","austria,germany,switzerland","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early stage B2B Enterprise Solutions (SaaS), Wealthtech, Fintech, Regtech startups with a regional focus on the DACH region.",Corporate VC,$100000,$500000
Eagle Venture Fund,https://www.eagleventurefund.com/,"550 Bailey Ave Suite 310 Fort Worth, Texas 76107","usa,germany,switzerland,uk,austria,singapore","3. Early Revenue,2. Prototype","We invest in Healthtech, Blockchain, DevOps, Fintech, Energy, Analytics, Edtech startups.",VC,$250000,$5000000
Radical Capital,https://www.radicalcapital.co/,"Windsor, Ontario, Canada","canada,usa","2. Prototype,3. Early Revenue","We invest in motivated, dedicated founders with bias towards action. We focus on proprietary AI and fintech.",Other,$10000,$150000
Matrix Ventures,https://matrix.capital/,"90, Griva Digeni, CY-3101, Belorient Building, 3rd Floor, Limassol, Cyprus CY","usa,israel,spain,germany,france,portugal,netherlands,belgium,luxembourg,uk,italy,switzerland,austria,poland,denmark,sweden,norway,finland,armenia,georgia","3. Early Revenue,4. Scaling","We Invest In all industries except Web3, DeepTech, Healthcare with $0,5M+ ARR and Runway > 8 month ",VC,$250000,$500000
Wayra UK,https://www.wayra.uk,"Tintagel House, 92 Albert Embankment, London SE1 7TY","usa,uk,sweden,spain,belgium,denmark,france,germany","4. Scaling,3. Early Revenue","We invest in Telecom, Sustainability, Gen AI, and B2B enterprise SaaS with £1M+ ARR and ideally have a telco use case.",Corporate VC,$100000,$6000000
Coreteq Ventures,http://www.coreteq.ventures/,"Na Zatlance 1908/4, Prague, Smíchov 15000, CZ",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early stage deep tech software such as platforms, frameworks, server side applications and libraries, AI components, and developer tools.",VC,$25000,$200000
First Move,https://www.firstmovefund.com/,"16 Rayffles Quay, #16-02, Hong Leong Building, Singapore 048581","singapore,indonesia,vietnam,thailand,malaysia,philippines","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in consumer focused businesses in the space if healthtech, fintech, gen AI, D2C brands, creators economy, health and wellness, ecommerce, marketplace, circular economy and more. ",VC,$50000,$100000
Graphite Ventures,https://www.graphitevc.com/,"155 Queens Quay E, Toronto, Ontario, Canada",canada,"3. Early Revenue,4. Scaling,2. Prototype,5. Growth","We invest in early-stage B2B SaaS, Fintech, Proptech, Digital Health, and capital-efficient hardware businesses with arms-length third-party verification of problem-solution fit.",VC,$100000,$5000000
test,test.vc,"650 Howard St, San Francisco, CA 94105, United States",albania,3. Early Revenue,"We invest in Blockchain, DevOps, Fintech startups with $1M+ ARR""",VC,$30000,$40000
Pawel Schapiro,https://www.payve.vc,"Frankfurt, Germany","austria,denmark,finland,germany,poland,spain,sweden,switzerland,uk,israel","1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in tech- and product-centric founders building software products in Europe or Israel, but mainly in DACH. Founders need to have a strong motivation, a balanced team with different skills and experiences as well as an unfair advantage to crack their market. Tech and product centricity is key for me as an investor.",Solo angel,$10000,$100000
Treble Capital,https://treble.vc/,"San Francisco, USA",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in outstanding consumer oriented companies as early as we can find them.,VC,$100000,$2000000
Slay Ventures,https://slayventures.io,"350 Lincoln Road, 2nd Floor, Miami Beach, FL 33139",usa,"2. Prototype,3. Early Revenue,4. Scaling","We invest in female-founded and focused startups driving mainstream consumer adoption. At Slay Ventures, we’re not just a venture capital firm. We’re a global catalyst, forging innovation in the FutureTech ecosystem with our unique focus on female-founded and focused startups driving mainstream consumer adoption. We believe in the power of diverse perspectives to drive innovation and reshape industries. As a Miami-based venture fund, we’re at the heart of a thriving tech scene, perfectly positioned to fuel the rise of the next generation of trailblazing startups.",VC,$250000,$1000000
Telkomsel VC,https://telkomsel.vc,"Telkomsel Landmark Tower Fl.11, Indonesia",indonesia,"3. Early Revenue,4. Scaling,5. Growth","We invest in companies that can synergize with our parent company, usually after product-market fit",Corporate VC,$500000,$5000000
Indus Equity Partners,https://www.indusequitypartners.com/,"604B Arcadia, 6th Floor, South City - II, Sector 49, Gurgaon - 122018, Haryana, India","australia,france,usa,germany,italy,uk,india,china,israel,uae","4. Scaling,5. Growth,6. Pre-IPO",We are a Sector Agnostic PE fund.,PE fund,$50000000,$100000000
Africa Growth LLC,https://africa-growth.com/,"254 Chapman Rd, Ste 208 #9561 Newark, DE 19702","south africa,nigeria,kenya,rwanda,ghana,zimbabwe,central african republic,mozambique,zambia,tanzania,burkina faso,burundi,algeria,madagascar,comoros,mauritius,sudan,south sudan,ethiopia,seychelles,namibia,benin,guinea-bissau,botswana,niger,senegal,malawi,mali,uganda,cameroon,drc congo,djibouti,morocco,tunisia,egypt,togo,gabon,angola,cabo verde,sao tome and principe,liberia,lesotho,""eswatini (fmr. """"swaziland"""")"",côte d'ivoire,gambia,sierra leone,guinea,equatorial guinea,mauritania,chad","3. Early Revenue,2. Prototype,4. Scaling,5. Growth","We invest in B2B tech, Energy, Renewables, Water, Agtech and Fintech sector businesses in the pre to early growth phase with low to no product risk.",VC,$50000,$1000000
Ertigen  Zoga,https://eurocomcx.com,"Tirana, Albania","canada,usa,albania,armenia,austria,belgium,bulgaria,croatia,cyprus,czech republic,denmark,estonia,finland,france,georgia,germany,greece,hungary,iceland,ireland,italy,latvia,liechtenstein,lithuania,luxembourg,malta,monaco,netherlands,north macedonia,norway,poland,portugal,romania,san marino,serbia,slovakia,slovenia,spain,sweden,switzerland,uk,egypt,israel,jordan,kuwait,lebanon,morocco,oman,palestine,qatar,saudi arabia,tunisia,turkey,uae,yemen,australia,new zealand","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","I invest in CX, Multi Lingual, BPO, E-commerce, Contact Center Multi Site Location, Scalability of Teams, Multi lingual Operation Outsourcing.",Solo angel,$50000,$10000000
Arkstons Capital,https://venture.angellist.com/arkstons-capital/syndicate,"London, United Kingdom","india,uae,uk,usa,singapore","6. Pre-IPO,5. Growth,4. Scaling,3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in IoT, Fintech, SaaS, Tech, EdTech across stages",Angel network,$50000,$500000
Jeltsin Neckebroek,https://www.jeltsin.com,"Brussels, Belgium","usa,malaysia,singapore,thailand,belgium,czech republic,denmark,estonia,finland,france,germany,greece,hungary,iceland,ireland,italy,latvia,liechtenstein,lithuania,luxembourg,malta,netherlands,norway,poland,portugal,romania,slovakia,slovenia,spain,sweden,switzerland,uk,oman,qatar,saudi arabia,turkey,uae","1. Idea or Patent,2. Prototype,3. Early Revenue",I invest in seed and pre-series A B2B/B2C ventures with a focus on acute consumer/customer problems and a working MVP. I am industry-agnostic but extremely focused on a clear path to profitability and technical moats.,Solo angel,$5000,$50000
Abraseed-1,https://www.abramundi.com,"Paris, France","algeria,egypt,israel,jordan,kuwait,morocco,qatar,saudi arabia,tunisia,turkey","2. Prototype,3. Early Revenue,4. Scaling","We invest in every tech industries, specially in deeptech, AI, synbio, edtech, SaaS",VC,$50000,$300000
Vanagon Ventures,https://vanagon.vc/,"Birketweg 31, München, Bayern 80639, DE",germany,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in B2B software and climate fintechs transforming corporate digital and climate challenges from a cost burden to a profit center using next-frontier technology like AI, Blockchain​, Machine Economy. 

We support founders who aim to accelerate and capitalize on the global imperative to digitize and decarbonize the economy. ",VC,$100000,$500000
Villaamil & Cia,https://www.linkedin.com/in/polovillaamil/,"Fortuny 3, Madrid, 28010 Spain","spain,usa,france,portugal,italy,uk,germany","3. Early Revenue,4. Scaling","We invest in Fintech, IoT, web3, SaaS, gaming, esports, cleantech. We are sector-agnostic, but revenue and strong growth are necessary requirements. ",Family office,$50000,$100000
SyndicateRoom,https://www.syndicateroom.com/,"Wellington house, East Rd, Petersfield, Cambridge CB1 1BH",uk,"2. Prototype,3. Early Revenue,4. Scaling",We invest with the UK's top performing angel investors. ,VC,$200000,$200000
1Stock Venture Capital Fund,https://www.1stock.org/funds,"1Stock Residences, Block 1, Top Floor, Kampala, Uganda","kenya,nigeria,rwanda,south africa,uganda","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in internet, software, consumer, enterprise IT, life sciences, cyber security, fintech and AI.

We are a client - service institution and we align our interests with our fund's objective.

Our fund's objective is to provide long - term capital appreciation for our investors. In pursuing this objective, we seek to provide our investors with a diverse selection of high - quality, efficiently managed tech companies within managed risk controlled models.
Under normal market conditions, we intend to invest the majority of the fund's capital into private tech companies, with remarkable scale and ascendant market share, which are sourced through fundamental financial analysis, data mining, pattern recognition and proprietary financial models. We then look for forward - looking stimulus that we believe will hasten earnings and/ or enhance the company's assets. Forward - looking stimulus may include but are not limited to; new, improved, or unique products or services; new or rapidly expanding markets for the company's products; new management; changes in the economic, financial, political, or regulatory environment affecting the company; or a business strategy not recognised by the market or competitors.

Past investments; https://angel.co/s/nixon-kitimoi/sfUJN

We also consider Environmental, Social and Governance factors, alongside other relevant factors, as part of our investment process as we aim to merge societal and financial value.",VC,$300000,$2000000
Mindset Ventures,https://mindset.ventures/,"Rua Professor Atílio Innocenti 165, Sao Paulo, BR","usa,israel,brazil","3. Early Revenue,4. Scaling","We generally invest in B2B SaaS companies based out of the US or Israel, mainly focused on fintech, enterprise software, cybersecurity, AgTech, Insurtech, and others. We look for companies that are early-stage but already have some kind of proven traction or revenue, normally around Seed/Series-A stage. We like investing in companies founded by at least two co-founders with complementary experiences and skills, preferably with previous experience and track record in their industry or as former entrepreneurs.",VC,$500000,$3000000
Future Developing ,https://www.futuredeveloping.it/en/,"Milano, Via Mascheroni 18, 20145 - Milano -IT",italy,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in socially beneficial startups with high impact value FinTech, CleanTech , BioTech , EdTech , DeepTech , IoT. We are a generalist and sector agnostic , with the main driver of impact finance and impact investing. are sectors where we have high expertise. ",Startup studio,$5000,$20000
Eureeca Ltd,https://www.eureeca.com/,"Dubai, UAE","uk,uae","5. Growth,4. Scaling,6. Pre-IPO","We invest in Growth companies with 3 year operating revenues primarily in the UAE, UK and Malaysia through our network of global investors.",Other,$500000,$5000000
Reinventure Capital,https://reinventurecapital.com/,"40A Orchardhill Road, Boston, Massachusetts 02130, US",usa,"4. Scaling,5. Growth","We invest in US companies led by BIPOC and/or female founders, at breakeven and poised to grow profitably with a proven business model looking to scale. Industry agnostic.",VC,$1000000,$2000000
NextSTEP,https://nextstepaccelerator.com/,"Venice, Italy","italy,uk","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Enviromental Sustainability and Cleantech startups, in the Idea, Prototype or Early Revenue stage. We invest up to $ 200.000. ",VC,$50000,$200000
Network VC,https://network.vc/,"Menlo Park, California","ukraine,usa,uk,poland","3. Early Revenue,4. Scaling",We invest in Startups in AI and Deeptech with close to $1M ARR,VC,$100000,$300000
Seed4Tech Venture Capital,http://www.seed4tech.de/,"Freiburg, Germany","germany,switzerland,france","3. Early Revenue,2. Prototype","We invest in deeptech, infrastructure, industry, health. 

We're all about backing the boldest, brightest, and smartest early-stage (seed and series A) startup teams, not just from Southwest Germany (Baden-Wurttemberg and the neighbouring federal states), but also from the dynamic ""Country Triangle"" of France and Switzerland.

We're on the hunt for visionary deep tech teams who are tackling the most pressing challenges faced by their target customers. Our passion lies in investing in game-changers who are pushing the boundaries of what's possible, creating breakthrough solutions that will shape the future.

Join us in this thrilling adventure of revolutionizing industries (in infrastructure, industry and health) and making an impact that truly matters!",VC,$500000,$1000000
Ignite Asia,https://www.ignite-asia.com/,"S-12-12, Wisma YNH Kiara 163, No. 8, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Malaysia","malaysia,singapore,indonesia,thailand,vietnam","2. Prototype,3. Early Revenue","We invest in B2B SaaS with MVP and above, but can also consider other sectors. We fund Pre-Seed but not ideation stage. ",Angel network,$50000,$100000
Sente Ventures,https://www.sente.vc/,"230 E Ohio St  Suite 410-1672  Chicago, IL  60611","usa,turkey,uk","3. Early Revenue,4. Scaling,5. Growth","We invest in Technology-driven innovation for the future of food, agriculture, water, and general human wellbeing. We invest in Industrial Circular Economy addressing industrial problems with more sustainable, digital, connected business models and technologies.",VC,$100000,$1000000
Yellow Rocks,https://yellowrocks.vc/,"1401 21st S, Sacramento, CA 95811, United States","mexico,usa,singapore,armenia,belgium,cyprus,germany,italy,poland,portugal,spain,uk,israel",3. Early Revenue,"We invest in startups in the areas of the Future of Work, Fintech, Edtech.",VC,$100000,$2000000
Plumule Advisory,https://www.plumuleadvisory.com,"4, Temot Close, Castle & Temple, Lekki, Nigeria","nigeria,kenya,rwanda,ghana","3. Early Revenue,4. Scaling,2. Prototype","We invest across 8 verticals including FinTech, HealthTech, EdTech, Logistics, Mobility, Marketplaces, B2B SaaS",VC,$50000,$200000
