Name,Location,Type,Website,Amount (up to EUR),Description / Eligibility,Website Domain
Rising up Spain,Spain,Accelerator,https://www.investinspain.org/en/about-us.html,,"Public program aimed at entrepreneurs and foreign startups that contribute to promote entrepreneurial activity in Spain with a
scalable and innovative project. It selects 15 startups to participate in a soft-landing and acceleration program that includes a variety of benefits such as:
▪ Obtaining visas with a more agile (fast-track) procedure
▪ Free co-working space
▪ Mentoring
▪ Participation in fundraising events
▪ Access to investors
It can be selected as beneficiaries those foreign start-ups which have the intention of establishing their business in Spain and comply with the following
requirements:
1. At least 10% of the start-up capital should in concentrated in one foreign natural o legal person, or non-resident Spanish natural person
2. If the startup is already constituted as a business in Spain, it cannot have more than one year of operatio",investinspain.org/en/about-us.html
ALMI,Sweden,Grant,https://www.almi.se/,,"offices in every part of Sweden. ALMI provides the first initial grant which is not needed to pay back if the funding is used in The right purpose. Besides ALMI founds through convertible loans, helps with incubation and introduces to venture capital.",almi.se/
Bioinnovation Science Prize,Sweden,Grant,https://bii.dk/bii-initiatives/,25.0,"Behind every life-changing solution is an entrepreneurial scientist. A creative mind who proved an idea in the lab and dared to carry it out in the world.

To encourage more scientists to translate their research, BioInnovation Institute (BII) & Science collaborate to host an annual award. Through the BioInnovation Institute & Science Prize for Innovation, the editors of Science seek to recognize bold researchers who are asking fundamental questions at the intersection of the life sciences and entrepreneurship.

Our three winners will have their essays published in Science magazine and will be invited into BII’s entrepreneurial ecosystem. In addition, the Grand Prize winner will receive a prize of USD 25,000 and each runner-up will receive USD 10,000 at a grand award show celebration in Copenhagen, Denmark.

Science has been at the center of important scientific discovery since its founding in 1880—with seed money from Thomas Edison. Today, Science continues to publish the very best in research across the sciences, with articles consistently ranking among the most cited worldwide.

The Science family of journals is published by the American Association for the Advancement of Science (AAAS), the world’s oldest and largest general science organization. The nonprofit AAAS serves 10 million people through primary memberships and affiliations with some 262 scientific societies and academies.",bii.dk/bii-initiatives/
SIDA,Sweden,Grant,https://www.sida.se/en/for-partners/research-partners/research-calls-and-grants,17.0,"The Swedish International Development Cooperation Agency, SIDA, runs projects for one year with the main objective of offering better conditions for international research collaboration that can eventually lead to achieving the SDGs. It helps Swedish researchers develop networks with researchers from other parts of the world, outside Europe, so as to think of new project ideas.

Candidates can apply for up to SEK 200,000 for network expenses, and the application deadline closes on August 25, 2022.",sida.se/en/for-partners/research-partners/research-calls-and-grants
Swedish Institute (SI),Sweden,Grant,https://si.se/en/apply/funding-grants/,100.0,"The Swedish Institute (SI) is a public agency whose mission is to show Sweden’s progress to the world, that is, to raise awareness of Sweden’s potential. Their objective is to achieve a high level of trust in Sweden so that the conditions of trade, investment, tourism and cultural exchange improve, and this way foster the attraction of international talent.

The SI has a total budget of SEK 294 million allocated to grants and scholarships, where candidates can find different projects to apply, and about two thirds of this budget is provided by the Swedish aid budget. ",si.se/en/apply/funding-grants/
Validator,Sweden,Incubator,https://www.sses.se/ventures/validator/,,"Most of these institutions have specialized programs for companies to apply for funding in Stockholm. A recent initiative from Vinnova is called Validator, where they hope to incubate and support companies from the very beginning of conceptualization.",sses.se/ventures/validator/
Venture Cup,Sweden,Competition,https://www.venturecup.se/en/,45.0,"There are many business pitch competitions across Stockholm. Most of these competitions offer cash incentives, exposure to the media, and established networks of the judging panelists. If not for the prizes, getting feedback from veterans will also be valuable to the organization.

Some of such competitions are Venture Cup, which has been established since 1998 and allowing you the chance to win up to SEK 500,000 and get well-needed publicity.",venturecup.se/en/
Vinnova,Sweden,Grant,https://www.vinnova.se/en/apply-for-funding/,800.0,"Vinnova funds research and innovation projects that can benefit society. We do so through various offers, which we call 'calls for proposals'.

",vinnova.se/en/apply-for-funding/
Wallenberg Foundation,Sweden,Grant,https://kaw.wallenberg.org/en/grants,2000000.0,"The Foundation supports long-term, free basic research beneficial to Sweden. Read below about the grants that have been awarded during the last years.",kaw.wallenberg.org/en/grants
Biopôle,Switzerland,Grant,https://www.biopole.ch/start-ups/biopole-fund/,90.0,"Are you a passionate Biopôle-based entrepreneur? And are you in need of a financial boost to kick-start your innovation? Enter the Biopôle Start-up Fund: a flagship initiative that helps the most promising life sciences ventures on campus to focus on what they do best. With up to three years of support with the costs of rental, research and development and key services, Biopôle SA supports entrepreneurial passion and early-stage innovation. Even better, it’s no strings attached: no equity demands, no loan repayments, just more time and resources to make an impact on human health through innovation. We’ll give up to CHF 40,000 per year for up to three years to start-ups working in digital health and up to CHF 90,000 per year for up to three years to those in any other area of the life sciences.

More specifically, successful, non digital health applicants will enjoy:

up to CHF 40,000 per year to spend on web lab infrastructure rental
up to CHF 20,000 per year to spend on research or administrative services, consultancy, staff salaries or training for key personnel
up to CHF 30,000 to spend on laboratory equipment for research and development (max. 50%).
For digital health companies, we’ll provide:

up to CHF 10,000 per year to spend on infrastructure rental
up to CHF 20,000 per year to spend on research or administrative services, consultancy, staff salaries or training for key personnel
Up to CHF 10,000 to spend on equipment for research and development (max. 50%).",biopole.ch/start-ups/biopole-fund/
BRIDGE,Switzerland,Grant,http://www.bridge.ch/en/,100.0,"The Swiss National Science Foundation (SNSF) and Swiss Innovation Agency (Innosuisse) worked hand-in-hand to create the BRIDGE programme. It is a grant programme that gives both young and experienced researchers funding opportunities to conduct their R&D (research and development) on science-based innovation in order to provide new solutions to current issues.

BRIDGE actually consists of two separate programs:

Proof of Concept – this grant is for newly grads who have made successful research work and are interested in developing practical applications or services based on their work. Innovations of all kinds from all research areas may be accepted by the grant officials.

Discovery – this grant is exclusively for scientists who have years of experience in their respective fields and are looking to explore the innovation potential of their research work and implement it on a commercial scale. OA review board will look into the submitted proposals and approve only those that have real social and economic impact.

BRIDGE Proof of Concept
Are you a newly graduate student with bachelor’s degree, or someone with a master of science degree? Do you have basic research experience, or an innovative idea that requires R&D to produce a marketable product? And are you looking for funding opportunities to supplant your idea for research? 

Then the BRIDGE Proof of Concept is just what you’re looking for.

BRIDGE Proof of Concept is a funding program designed to provide financial assistance to young researchers to turn their research data into practical products/services with high potential market value.

BRIDGE Discovery
If you’re an experienced researcher with a tested and proven innovative idea and you also need funding to develop it further into a product that will benefit humanity, then BRIDGE Discovery can help you.

The BRIDGE Discovery funding opportunity offers a reasonable amount to get their research work (both basic and applied research) off the ground. It allows the scientists to move forward with their research and come up with interesting solutions that solves many problems and help them beat out the competition.",bridge.ch/en/
EPFL Ignition,Switzerland,Grant,http://www.epfl.ch/innovation/startup/grants/ignition-grants/,30.0,"The EPFL Ignition Grant was created to help researchers with great ideas to break free from the “too early” barrier. Too often, this is the predominant reason why such researchers never get their projects off the ground, but all of that is about to change with the Ignition Grant.

The grant should jumpstart your research work and produce significant results, as you get ready for future grants.

You will receive CHF 30,000 in order to get started on your research and develop a prototype within 6 months. This amount can be in the form of a salary and/or of consumables and/or outsourcing needs.

Moreover, you’ll even get the chance to use a cutting-edge EPFL laboratory and be given access to all of its equipment.

Are You Eligible To Apply?
In order to apply you will need to show you:

A clear business plan with a clear vision for your startup business that’s based on a scalable technological innovation
You have a MVP and/or some early traction
You’ve already established a connection to a hosting EPFL lab",epfl.ch/innovation/startup/grants/ignition-grants/
EPFL Innogrants,Switzerland,Grant,http://www.epfl.ch/innovation/startup/grants/innogrants/,100.0,"Another grant opportunity that you can take advantage of is the EPFL Innogrants. 

Similar to the Ignition grant, the Innogrants fund aims to support entrepreneurs by providing them a salary. Yet, it differs from the Ignition grant in the amount: entrepreneurs can receive as much as CHF 100,000 over a 12-month period instead.

Are You Eligible To Apply?
In order to apply you will need to show:

A clear business plan with a clear vision for your startup business that’s based on a scalable technological innovation
You have a MVP and/or some early traction
You must negotiate with a hosting EPFL lab to do R&D for your radical new idea",epfl.ch/innovation/startup/grants/innogrants/
ESA BIC Switzerland,Switzerland,"Grant,Incubator",https://www.esabic.ch/,200.0,"Who can apply?
★ incorporated in Switzerland
★ less than 5 years old
★ with a space connection

",esabic.ch/
Fribourg Innovation,Switzerland,Award,https://innovation-fribourg.ch/,50.0,"The Innovation Prize allows innovative companies to make themselves known and recognized in the canton of Friborg and in Switzerland. For the winning teams, it's the opportunity to obtain the consecration and receive the reward for the many efforts made.",innovation-fribourg.ch/
Future of Health,Switzerland,"Grant,Award",https://future-of-health.org/,50.0,"Enabling them to develop their solutions faster, the selected start-ups will benefit from financial support, as well as tailor-made coaching and mentoring services in business and digital healthcare. Start-ups selected for level 1 will receive an ignition grant of CHF10k. The POC grant for level 2 start-ups is worth CHF30k. Both grants are equity and interest free.",future-of-health.org/
InnoBooster,Switzerland,Grant,https://www.grstiftung.ch/en/area-activity/innobooster.html,150.0,"«InnoBooster» aims at speeding up innovative, science-based deep tech businesses which have already entered the Venture Kick process and promise high market potential.  Up to CHF 150,000 for a maximum of 1.5 years can be granted to top talents with a clear plan and funding need for accelerated market entry. The funding line is calling for convincing proposals which show how a further boost in research & development or design can drive market entry and business success.",grstiftung.ch/en/area-activity/innobooster.html
Innosuisse Booster,Switzerland,Grant,http://www.innosuisse.ch/inno/en/home/be-connected/ntn/innovation-boosters.html,500.0,"Innosuisse Booster is a type of funding initiative that aims to foster new technical innovation that solves a wide range of problems and issues relevant to Switzerland.

To be eligible, you will need to prove the project is indeed innovative and has the potential to become a product, service or process available on the market in the future.

The Innosuisse Booster programme provides an even larger funding opportunity for start-ups that caps at CHF 500,000 annually.",innosuisse.ch/inno/en/home/be-connected/ntn/innovation-boosters.html
Innosuisse Flagship,Switzerland,Grant,http://www.innosuisse.ch/inno/en/home.html,100.0,"Innosuisse’s Flagship Initiative is another of Switzerland’s top grants for startups. It aims to catalyze innovation in the socio-economic sphere of Switzerland. It does so by promoting project collaboration between investors, startup founders, researchers and corporates.

Strengthening the Swiss economy is, of course, the overall goal of this initiative and Innosuisse believes that collaboration and systemic innovation is the key to success.

Moroever, Innosuisse Flagship Initiative has no maximum budget for funding defined. Indeed, startups can theoretically get as much money they need for their projects, provided they justify the reason(s) for it.",innosuisse.ch/inno/en/home.html
NRP (National Research Programmes),Switzerland,Grant,http://www.snf.ch/en,2000000.0,"Funded by the Swiss National Science Foundation, the National Research Programmes (NRPs) are a number of grant programs that aim to finance scientific experiments and innovative projects in a number of areas.

The range of areas is vast and includes, among others: energy, nanosciences, urbanisation, healthcare but also gender equality, ageing population, immigration, etc.

Each start-up initially get CHF 50,000 in order to get their projects started. Then, subsequent funding is provided for research costs and staff salaries, as well as of scientific cooperation, networking and communication.

In total, startups can receive anywhere from CHF 300,000 to CHF 2 million across 4 years’ time.",snf.ch/en
The Hashgraph Association,Switzerland,Grant,https://hashgraph-association.com/,250.0,Hashgraph Innovation Program from Hedera is the Grant program to provide support and funding startups and founders in the blockchain,hashgraph-association.com/
Venture Kick,Switzerland,Loan,https://www.venturekick.ch/,850.0,"Every year about 100 new high-potential spin-off projects from Swiss universities receive funding from Venture Kick. The funding starts before company incorporation and can increase to CHF 1,000,000+. Participants are invited to present their startup project to the Venture Kick jury in three stages, with a 50 percent chance of selection at each stage. Winners of stage 1 can apply for a CHF 150,000 Innobooster grant. And the winner of the final stage will have access to additional funding of up to CHF 850,000 by Kick Fund. 

Venture Kick offers much more than just money. Participants receive guidance for business development and fundraising, support for execution, and access to a network of successful entrepreneurs, industry partners, experts, and investors through structured entrepreneurial paths and kickers camps after each stage.

After 15 years, Venture Kick boasts a portfolio of over 600 successful and growing high-tech companies that have raised more than CHF 7 billion from investors around the globe and created 12,000 jobs. Ask former Venture Kick participants about their Kickers experience. ",venturekick.ch/
Web3 Foundation,Switzerland,Grant,https://github.com/w3f/Grants-Program#web3-foundation-grants-program,100.0,"In support of our mission, the Web3 Foundation grants program funds software development and research in the field of decentralized software protocols.
",github.com/w3f/Grants-Program#web3-foundation-grants-program
7 Wings Foundation,Ukraine,Grant,https://www.7wings.tech/,50.0,"7wings is a CfE UCU based startup support fund that gives grants of $50,000 to Ukrainian startups, most of whose team members remain in Ukraine, while the startup itself has suffered from Russia's unwarranted aggression against Ukraine. We are here to help Ukrainian tech companies rise and show that UA tech capabilities are larger than MRIYA.",7wings.tech/
EO Incubator,Ukraine,Incubator,https://eo-in-ua.notion.site/World-class-Mentor-driven-Program-for-Ukrainian-Founders-01b949ef068945809f35a875d28a1e67#e70faea1ff354f779c6c1ea40f115023,,"eō Business Incubators (eō) is Ukraine’s #1 incubation and acceleration program. Fueled by over 60 mentors from around the world, eō conducts a **3-month** curriculum designed to support Ukrainian entrepreneurs and founders in launching and scaling their industry-changing technology businesses.

Due to the war, we have waived an equity fee requirement for Ukrainian founders and adjusted the curriculum. We made it more flexible with lectures held once per week and repeated during the same week. We increased the number of sessions with eō staff and mentors to address directly your business needs.",eo-in-ua.notion.site/World-class-Mentor-driven-Program-for-Ukrainian-Founders-01b949ef068945809f35a875d28a1e67#e70faea1ff354f779c6c1ea40f115023
ISE,Ukraine,Incubator,https://ise-group.org/,,"ISE Group

NGO ""ISE Group"" is innovation ecosystem builder in CEE region, founded in 2018 in Ukraine. 

ISE means three drivers leading the world of tomorrow, developing technologies, and defining our future: 
I ● Innovation
S ● Startups
E ● Entrepreneurship

We focus on building partnerships between Corporations, Government Agencies, Universities, R&D centers and Start-ups. Our mentors come from the major ecosystems including London, Berlin, Dublin, Palo-Altо, New-York, Kyiv and Warsaw.

Our special focus is women-led startups and the support of female entrepreneurs - 30% of our startups are run by women.",ise-group.org/
Startup Wise Guys,Ukraine,Incubator,http://startupwiseguys.com/,,"Dare to dream global. We’re a startup accelerator like no other, our optimized approach puts early stage startups on the map and catapults them into worldwide success.

Startup Wise Guy’s origins began in Europe’s tech-savvy startup capital, Estonia. Since 2012, we have used our carefully curated expertise, skills and funding to skyrocket hundreds of emerging early stage startups into upwards growth.

This is not our first rodeo… we are the most experienced accelerator fund in the region with over 35+ programs, an international community of founders from over 60 countries and an established market in CEE and CIS countries.

Do you think you have what it takes ? Ready to take the world by storm ?",startupwiseguys.com/
Ukrainian Startup Fund,Ukraine,Grant,https://gis2021exhibition.com/organisation/ukrainian-startup-fund-usf/,10.0,"The Ukrainian Startup Fund (USF) was established in 2019 as a state-owned legal entity and is now endowed with USD 20m of funding available for startups. Originally set up to promote the development of the local startup ecosystem and internationalisation, USF today is the largest local angel investor with over 100 funded startups and the most extensive database for startups and stakeholders (over 3,000 applications). Ukrainian by origin, early-bird startups are eligible for funding, receiving non-refundable and non-equity grants of up to USD 75,000 on current activities, and up to USD 10,000 for acceleration programmes.",gis2021exhibition.com/organisation/ukrainian-startup-fund-usf/
Addenbrooke's Charitable Trust (ACT),United Kingdom,Grant,https://act4addenbrookes.org.uk/grants/,46.0,"We offer several types of grants. Please see below to find out which one might be appropriate to your area of interest.
Patient benefit grants (Professional Advisory Committee)
ACT makes grants to support benefit patients through the Professional Advisory Committee (PAC). Typically, grants are up to £40,000. The panel sits quarterly and is made up of a multi-disciplinary body of CUH and ACT staff.  Applications are invited at any time. Applications can be submitted at any time via the ACT Funding Portal.

See table below for deadlines for grants panels.

Innovation grants
The Innovation for Patient Benefit grant panel make awards of up to £40,000 that seek new and innovative ways of providing health care. Awards are for projects up to two years in duration and applications are considered twice a year. Applications can be submitted at any time via the ACT Funding Portal.

See table below for deadlines for grants panels.

Research grants
Applications for research funding are considered by the Research Advisory Committee, a panel made up of research experts from multiple disciplines. We are keen to support researchers at an early stage in their career and are particularly interested in research projects which act as a catalyst to further research or that bridge temporary funding gaps. . Applications can be submitted at any time via the ACT Funding Portal.
",act4addenbrookes.org.uk/grants/
Advanced Propulsion Centre UK,United Kingdom,Grant,https://www.apcuk.co.uk/funding/,23000000.0,"We are dedicated to supporting the UK’s global leadership position in scientific research, automotive engineering and net-zero political ambition by enabling the de-risking of new product and process development, supporting domestic and export markets. ",apcuk.co.uk/funding/
Biomedical Catalyst,United Kingdom,Government,https://www.ukspa.org.uk/biomedical-catalyst-non-dilutive-funding-for-health-life-science-companies/,4540000.0,"The Biomedical Catalyst (BMC) is a joint programme run by Innovate UK and the Medical Research Council (MRC) and was launched in 2012.  It was part of a wider package of measures to support the life sciences sector under the Government’s Industrial Strategy with the aims of:

Delivering growth to the UK life sciences sector;
Delivering innovative life sciences products and services more quickly and more effectively into healthcare; and,
Provide support to academic and commercially led R&D in a seamless, effective and efficient manner.",ukspa.org.uk/biomedical-catalyst-non-dilutive-funding-for-health-life-science-companies/
Cancer Research UK,United Kingdom,Grant,https://www.cancerresearchuk.org/funding-for-researchers/our-funding-schemes?items_per_page=60,,"In order to beat cancer sooner, we fund high quality research that aligns with our Research Strategy. Independent scientific experts in the research community make recommendations for funding in accordance with our strategy and within the budgets we set.

We have a range of funding opportunities, each of which fall under the remit of one of our expert funding committees. Our grants are awarded in open competition and only after all funding applications are scrutinised through scientific peer review by appropriately qualified experts.

We are a member of the Association of Medical Research Charities (AMRC) and as such we follow the AMRC’s high standards and recommended principles of peer review",cancerresearchuk.org/funding-for-researchers/our-funding-schemes?items_per_page=60
DCMS,United Kingdom,Grant,https://apply-for-innovation-funding.service.gov.uk/competition/1394/overview/2b029a32-ac25-457d-9f36-786b3ef746bc,35.0,"Innovate UK, part of UK Research and Innovation, is to invest approximately £3 million in innovation projects. This funding is from the Department for Digital, Culture, Media & Sport (DCMS) Create Growth Programme for the six appointed regions in England. The six regions are:

Greater Manchester
the West of England with Cornwall and the Isles of Scilly
Norfolk, Suffolk and Cambridgeshire
Leicestershire, Derbyshire and Lincolnshire
Kent, Essex, East and West Sussex
the North East of England
The programme support package will comprise of three complementary strands:

business support targeted at the creative industries
finance
investor capacity building activities
The aim of this competition is to provide a package of targeted support to high-growth creative businesses to scale, build investor networks and reach their potential. This funding is designed to help creative businesses explore new innovation projects as a stimulus for growth.

Your proposal must:

be from the creative industries
be from a micro, small or medium size enterprise registered or operational in a DCMS Create Growth Programme region
focus on a clear growth opportunity and the proposed innovation to address it
demonstrate the impact funding and support can have on the growth plan of your business
engage with the regional support if your application is successful
In applying to this competition, you are entering into a competitive process. This competition closes at 11am UK time on the deadline stated.",apply-for-innovation-funding.service.gov.uk/competition/1394/overview/2b029a32-ac25-457d-9f36-786b3ef746bc
Digital Science,United Kingdom,Grant,https://www.digital-science.com/investment/catalyst-grant/,30.0,"We like original, early-stage software ideas that help benefit scientific research and offer grants and bags of friendly advice.  Submit your application and you’ll be on your way to bringing your idea to life.

We are big fans of interoperability and continually look for companies which fit our mission with the goal of helping the research community to work more efficiently and discover more. We offer grants of up to £25,000 and bags of friendly advice.

As part of our 10 year anniversary, we’re looking into exciting ways of taking our Catalyst Grant to new heights. Until then we are not accepting applications.
",digital-science.com/investment/catalyst-grant/
DigitalHealth London Accelerator,United Kingdom,Accelerator,https://digitalhealth.london/accelerator/,170.0,"This accelerator provides support and funding to digital health startups in London. They offer a 12-month program that includes mentoring, workshops, and networking opportunities. They also provide non-dilutive funding of up to £150,000.",digitalhealth.london/accelerator/
Hult Prize Foundation,United Kingdom,Grant,https://oncampus.hultprize.org/university-college-london,1000000.0,"The Hult Prize has been called the Nobel Prize for students. Each year 50,000 students from all over the world compete for the chance to win $1 million in seed funding to launch their social enterprise.",oncampus.hultprize.org/university-college-london
Innovate UK,United Kingdom,"Grant,Loan",https://www.gov.uk/government/organisations/innovate-uk,4500000.0,"Innovate UK offers various funding programs, such as the Smart Grants program, which provides grants of up to £2 million for projects that aim to develop new products or services with strong commercial potential. The Biomedical Catalyst Fund provides grants of up to £4 million for projects that aim to address healthcare challenges and develop new medical technologies.",gov.uk/government/organisations/innovate-uk
NIHR i4i,United Kingdom,Grant,https://www.nihr.ac.uk/explore-nihr/support/funding-for-research-studies/funding-programmes/invention-for-innovation.htm,1200000.0,"The NIHR i4i program provides early-stage funding of up to £150,000 for proof-of-concept studies, and later-stage funding of up to £1 million for product development and testing.",nihr.ac.uk/explore-nihr/support/funding-for-research-studies/funding-programmes/invention-for-innovation.htm
R&D Tax Credit,United Kingdom,Tax Credit,http://www.ukri.org/opportunity/,,"The R&D tax credit scheme is a government tax incentive to promote UK businesses investing in innovation. R&D tax credits can either be paid back as cash, or reduce companies’ next tax bill.

In reality there are 2 separate tax credit schemes:

SME R&D Tax Credit scheme for small and medium-sized businesses (SMEs). Companies must have less than £100M revenue and 500 employees, or less than £86m in assets on their balance sheet to qualify
RDEC R&D Tax Credit scheme for large businesses
The tax benefits are slightly different for the 2 schemes. Luckily, the most attractive is the SME R&D Tax Credit. More importantly, the SME R&D Tax Credit is all the more attractive for loss-making businesses, which often is the case for early-stage startups.

Is Your Startup Eligible?
As long as your business is falling under the conditions cited above (£100M revenue and 500 employees, or less than £86m in assets), it is eligible. Good news – as virtually all startups are considered as SMEs from the standpoint of these criteria.

Although R&D tax credits can only be claimed against qualifying R&D expenses, there is no limitation on the sector or industry a business is in.

As long as you can justify the R&D expenses are only related to the qualifying research and development work, you can claim expenses such as: salaries, subcontractor expenses, utilities, hardware supplies and materials cost used in research (including capital expenditures) and software hosting and infrastructure costs.

How Much Can You Actually Get?
Startups and SMEs in general can claim up to 33% of their research and development costs in cash. The percentage depends on a number of factors.

Luckily though, most startups can claim the maximum (i.e. 33%) which can significantly reduce their cash burn, and eventually, improve their runway.

For more information on UK’s R&D tax credit, how it works and how much you can actually claim for your startup, read our complete guide here.",ukri.org/opportunity/
SBRI (Small Business Research Initiative),United Kingdom,Grant,http://www.gov.uk/government/collections/sbri-the-small-business-research-initiative,1200000.0,"Small Business Research Initiative (SBRI) is another of Innovate UK’s innovation grant programs.

The SBRI programme connects innovative businesses and startups with government institutions to tackle some of society’s big challenges.

Also, to support these projects SBRI typically invests up to £100,000 to test an idea, and up to £1 million to develop a prototype.

Moreover, not only do businesses get funding but they also can win big contracts with public institutions. Indeed, over £470 million worth of contracts have been funded through SBRI since the program’s creation in 2001.

What’s more is that the program primarily benefits SMEs over large companies. Indeed, more than 66% of the funding grants have been funded to SMEs to date.

Is Your Startup Eligible?
SBRI runs multiple innovation grants for different industries. Each has its own eligibility criteria which you can check on their website here.

As of date of writing this article (December 2021), there were 7 different grant applications open across aerospace, mobility, manufacturing, digital security and other industries.

How Much Can You Actually Get?
By participating to one of SBRI’s innovation programs, businesses can receive grants of up to £100,000 to test an idea, and up to £1 million to develop a prototype.",gov.uk/government/collections/sbri-the-small-business-research-initiative
SBRI Health,United Kingdom,Grant,https://sbrihealthcare.co.uk/,1140000.0,"SBRI Healthcare provides funding of up to £100,000 for feasibility studies, and up to £1 million for product development and testing.",sbrihealthcare.co.uk/
SMART (InnovateUK),United Kingdom,Grant,https://sharpsheets.io/blog/uk-innovate-smart-grant-startup/,2500000.0,"Founded in 2018, Innovate UK is a government body part of the UK Research and Innovation (UKRI) that aims to provide money and support to new businesses and startups as part of multiple innovation grant programs (see more on that below). Their flagship innovation grant is SMART.

As with any innovation grant, SMART is also very competitive: it runs once a year and only 6% of applicants get selected each year.

Is Your Startup Eligible?
All types of industries are eligible. Indeed, applications can come from any tech-enabled company, no matter what sector(s) it applies to.

As long as your business demonstrates it is carrying an innovative project, which is also commercially viable and has a positive impact on the UK economy, you may be able to apply.

First, your business must be either a micro, small or medium-sized enterprise (SME) which is the case for all startups.

Also, the project(s) work need to be carried out in the UK. Same goes for the benefits of the project(s): they need to be commercially exploited “from or in the UK”.

Finally, the project need to meet certain duration and cost criteria:

Project(s) between 6 to 18 months must have a total cost between £25,000 and £500,000
Project(s) between 19 to 36 months must have a total cost between £25,000 and £2,000,000
Learn more about whether you can apply for your startup and how much you can get by reading our complete guide on UK Innovate’s SMART grant here.",sharpsheets.io/blog/uk-innovate-smart-grant-startup/
Start Up Loans,United Kingdom,Government,https://www.startuploans.co.uk/,29.0,"The Start Up Loans program is a government-backed scheme that provides loans of up to £25,000 to new and early-stage businesses in the UK. This program is designed to help entrepreneurs who may have difficulty accessing traditional financing.",startuploans.co.uk/
StartCodon,United Kingdom,Accelerator,https://www.startcodon.com/,284.0,"Start Codon is a life science and healthcare accelerator based in Cambridge. They provide funding, mentoring, and other resources to early-stage health startups. They offer non-dilutive funding of up to £250,000.",startcodon.com/
UCL Entrepreneurs,United Kingdom,Grant,https://www.ucl.ac.uk/enterprise/students/start-and-grow-business/ps300-business-start-grants-available,350.0,"£300 Business start-up grants available
UCL students and recent graduates (within 1 year of graduation) can apply for £300 to register their business.

If you’ve formulated your business idea through a taught or extracurricular programme, but not yet committed to starting your business, this grant can help you with the next steps.

UCL students and recent graduates can apply for £300 to register their business and for other setup costs such as registering a domain name and creating a website.

To help you establish and grow your business, and become part of our entrepreneurial community, you can also apply to join our Hatchery incubation and acceleration programmes.

If your grant application is successful, you would be expected to apply to the Hatchery.",ucl.ac.uk/enterprise/students/start-and-grow-business/ps300-business-start-grants-available
UCL Entrepreneurs,United Kingdom,Grant,https://www.ucl.ac.uk/enterprise/students/develop-your-entrepreneurial-skills/build-your-business-or-social-enterprise,3.5,"If you have a tested business or social enterprise idea, this free programme will help you take the next practical steps to develop your business or social enterprise.

On this free 6-week programme you’ll learn about the practicalities of setting up a new business or social enterprise.

You'll work through case studies and take part in small group discussions and interactive activities to develop your business model.

Between sessions you’ll take what you’ve learnt and apply it in the real world to make your idea a reality.

You'll also have the chance to win £3,000 to help develop your business further.

This programme will also help you prepare you to apply for our Hatchery startup incubator.

Who it’s for
This programme is for UCL students who have already stress-tested a business or social enterprise idea.

Staff, research associates and recent graduates (within 3 years of graduating) may also take part but will not be able to win the prize money or in-kind mentoring.

Ideally you’ll have tested your idea by taking part in the Explore programme. 

Eligibility
To be eligible to apply you must:

have a proven business or social enterprise idea (you’ve engaged with potential customers or developed a minimal viable product)
want to validate your business model
be committed to your business and to developing it further
agree to complete at least 75% of the programme
Businesses already in the Hatchery incubator or endorsed for a Start-up or Innovator visa cannot apply.

What you’ll learn",ucl.ac.uk/enterprise/students/develop-your-entrepreneurial-skills/build-your-business-or-social-enterprise
UCL Explore progam,United Kingdom,Grant,https://www.ucl.ac.uk/enterprise/students/develop-your-entrepreneurial-skills/explore-your-entrepreneurial-idea,2.25,"Explore your entrepreneurial idea
If you have a business idea or passion you want to turn into a business, this free programme will help you test and refine your idea.

This free 6-week programme will help you start to turn your idea or passion into a viable business or social enterprise.

You’ll work alongside other entrepreneurs to sharpen your skills, stress test your ideas and establish a market for your business or social enterprise.

You'll also have the chance to win a portion of the £2,000 prize fund to help develop your business further.

Who it’s for
This programme is for UCL students who are new to entrepreneurship.

Staff, research associates and recent graduates (within 3 years of graduating) may also take part but will not be able to win the prize money or in-kind mentoring.

You don’t need any experience or a business idea. If you don’t already have an idea to explore, the first session will help you come up with an idea to work on for the rest of the programme.

Eligibility
You’ll need to:

commit to attending the first session of the programme and at least 4 of the 5 other sessions 
have thought about an idea you want to develop into a business or social enterprise, or have a passion for creating impact in a specific field e.g. health, environment, education, technology etc.
show you’re keen to build the knowledge and skills required for a startup 
Businesses already in the Hatchery incubator or endorsed for a Start-up or Innovator visa cannot attend.",ucl.ac.uk/enterprise/students/develop-your-entrepreneurial-skills/explore-your-entrepreneurial-idea
